0.215,7.906411
0.284,7.831411
0.313,7.756411
0.286,7.66141125
0.204,7.5664115
0.269,7.53641125
0.204,7.506411
0.266,7.341411
0.216,7.176411
0.223,7.11641115
0.109,7.0564113
0.106,6.85641115
0.117,6.656411
0.089,6.35141125
0.128,6.0464115
0.074,5.9414115
0.126,5.8364115
0.082,5.89141125
0.118,5.946411
0.131,6.1814112
0.432,6.4164114
0.116,6.95641135
0.088,7.4964113
0.123,7.5514114
0.076,7.6064115
0.123,7.90641125
0.075,8.206411
0.12,8.5264115
0.089,8.846412
0.104,8.941412
0.112,9.036412
0.234,8.796412
0.172,8.556412
0.111,8.0864115
0.127,7.616411
0.261,7.32641115
0.313,7.0364113
0.286,6.7814114
0.262,6.5264115
0.265,6.2764115
1.3329999,6.0264115
0.205,6.01641125
0.229,6.006411
0.223,5.611411
0.25,5.216411
0.209,5.081411
0.255,4.946411
0.2,4.976411
0.239,5.006411
0.178,5.12641115
0.219,5.2464113
0.191,4.87641115
0.208,4.506411
0.212,4.28141115
0.2,4.0564113
0.171,3.3064113
0.088,2.5564113
0.127,2.2914113
0.076,2.0264113
0.125,1.8064114
0.084,1.5864115
0.113,1.43141145
0.096,1.2764114
0.098,1.2214114
0.112,1.1664114
0.083,1.4864114
0.119,1.8064114
0.073,2.3814114
0.118,2.9564114
0.115,3.53141145
0.117,4.1064115
0.086,4.55641125
0.559,5.006411
0.176,5.311411
0.268,5.616411
0.235,5.79641115
0.155,5.9764113
0.17,5.9764113
0.141,5.9764113
0.373,5.81141135
0.176,5.6464114
0.186,5.2914114
0.226,4.9364114
0.198,4.6414112
0.339,4.346411
0.559,3.9814111
0.786,3.6164112
1.472,3.2664113
0.797,2.9164114
0.786,2.60641135
0.701,2.2964113
1.291,2.03141135
1.194,1.7664114
0.668,1.56141145
0.221,1.3564115
0.172,1.16141145
0.211,0.9664114
0.134,0.92141142
0.182,0.87641144
0.155,0.59141142
0.256,0.3064114
0.185,0.211411405
0.086,0.11641141
0.117,0.721411405
0.085,1.3264114
0.119,1.4364114
0.078,1.5464114
0.12,1.7064114
0.074,1.8664114
0.119,2.05641135
0.074,2.2464113
0.119,2.42641125
0.075,2.6064112
0.119,3.1114112
0.074,3.6164112
0.164,4.2464113
0.08,4.8764114
0.36,5.4114112
1.498,5.946411
0.185,6.36641115
0.253,6.7864113
0.53,7.11641115
0.188,7.446411
0.124,7.7414115
0.139,8.036412
0.106,8.361412
0.13,8.686412
0.169,8.851412
0.221,9.016412
0.172,8.936412
0.228,8.856412
0.258,8.666412
0.298,8.476412
0.249,8.401412
0.334,8.326412
0.269,8.196412
1.161,8.066412
0.228,7.9864115
0.293,7.906411
0.226,7.7964112
0.292,7.6864114
0.235,7.4014112
0.298,7.116411
0.22,7.08141125
0.267,7.0464115
0.205,7.1564114
0.271,7.2664113
0.202,7.20641135
0.214,7.1464114
0.084,7.00141145
0.138,6.8564115
0.078,7.24141145
0.132,7.6264114
0.083,7.8214117
0.125,8.016412
0.087,8.141412
0.117,8.266412
0.093,8.456412
0.109,8.646412
0.1,8.666412
0.097,8.686412
0.11,8.4664115
0.122,8.246411
0.421,8.331411
0.081,8.416411
0.125,8.6764115
